중소벤처기업연구원 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,," 1: 공공누리 1유형, 2: 공공누리 2유형, 3:공공누리 3유형, 4:공공누리4유형",,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,작성일/출판일/발행년도,연구책임자/작성자/발행기관,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고,비고
68,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제67호(2016.2.11),,2016,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
69,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제68호(2016.4.26),,2016,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
70,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제69호(2016.5.3),,2016,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
71,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제70호(2016.6.23),,2016,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
72,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제72호(2016.7.4),,2016,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
73,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제73호(2016.7.11),,2016,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
74,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제74호(2016.7.15),,2017,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
75,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제75호(2016.7.21),,2016,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
76,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제76호(2016.8.2),,2016,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
77,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제77호(2016.8.8),,2016,중소기업연구원,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
