[국회도서관] 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판명,게시물 제목,pdf페이지,발행년,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
105,국회전자도서관,소장자료,국회기록사진첩_vol2_004.jpg,63,1953.5-1957.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
106,국회전자도서관,소장자료,국회기록사진첩_vol2_005.jpg,63,1953.5-1957.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
107,국회전자도서관,소장자료,국회기록사진첩_vol2_006.jpg,64,1953.5-1957.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
108,국회전자도서관,소장자료,국회기록사진첩_vol2_007.jpg,64,1953.5-1957.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
109,국회전자도서관,소장자료,국회기록사진첩_vol2_008.jpg,65,1953.5-1957.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
110,국회전자도서관,소장자료,국회기록사진첩_vol2_009.jpg,65,1953.5-1957.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
111,국회전자도서관,소장자료,국회기록사진첩_vol2_010.jpg,65,1953.5-1957.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
112,국회전자도서관,소장자료,국회기록사진첩_vol2_011.jpg,66,1953.5-1957.8,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
113,국회전자도서관,소장자료,국회기록사진첩_vol2_012.jpg,67,1953.5-1957.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
114,국회전자도서관,소장자료,국회기록사진첩_vol2_013.jpg,67,1953.5-1957.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
115,국회전자도서관,소장자료,국회기록사진첩_vol2_014.jpg,68,1953.5-1957.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
116,국회전자도서관,소장자료,국회기록사진첩_vol2_015.jpg,68,1953.5-1957.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
117,국회전자도서관,소장자료,국회기록사진첩_vol2_016.jpg,68,1953.5-1957.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
118,국회전자도서관,소장자료,국회기록사진첩_vol2_017.jpg,69,1953.5-1957.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
119,국회전자도서관,소장자료,국회기록사진첩_vol2_018.jpg,69,1953.5-1957.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
120,국회전자도서관,소장자료,국회기록사진첩_vol2_019.jpg,70,1953.5-1957.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
121,국회전자도서관,소장자료,국회기록사진첩_vol2_020.jpg,71,1953.5-1957.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
122,국회전자도서관,소장자료,국회기록사진첩_vol2_021.jpg,71,1953.5-1957.8,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
123,국회전자도서관,소장자료,국회기록사진첩_vol2_022.jpg,72,1953.5-1957.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
