대구광역시청 공공저작물 권리확인 요청 목록 (단순데이터),,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,등록일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
86,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2017년 1월 업무추진비 집행내역(보건환경연구원),2017-02-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
87,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2017년 1월 업무추진비 집행내역 (상수도사업본부 시설관리소),2017-02-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
88,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2017년 1월 업무추진비 집행내역(상수도사업본부 급수부),2017-02-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
89,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2017년 1월 업무추진비 집행내역(상수도사업본부 수질연구소),2017-02-08 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
90,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2017년 1월 업무추진비 집행내역(복지정책관),2017-02-08 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
91,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2017년 1월 업무추진비 집행내역(차량등록사업소),2017-02-08 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
92,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2017년 1월 업무추진비 집행내역(달서소방서),2017-02-09 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
93,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2017년 1월 업무추진비 집행내역(사회적경제과),2017-02-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
94,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2016년 12월~2017년 1월 업무추진비 집행내역(보건건강과),2017-02-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
95,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2017년 1월 업무추진비 집행내역(물산업과),2017-02-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
96,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2017년 1월 업무추진비 집행내역(교통정책과),2017-02-13 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
97,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2017년 1월 업무추진비 집행내역(중부소방서),2017-02-13 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
