[국회도서관] 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판명,게시물 제목,URL,발행년,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,생산기관
145,국회기록보존소,국회연표,내각제 국회 수뇌부 사진,,1960.08.08,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
146,국회기록보존소,국회연표,민의원 개원 사진,,1960.08.08,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
147,국회기록보존소,국회연표,윤보선 대통령 취임선서 사진,,1960.08.13,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
148,국회기록보존소,국회연표,대통령 당선 축하 사진,,1960.08.13,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
149,국회기록보존소,국회연표,총리 인준 좌절된 김도연 의원 사진,,1960.08.17,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
150,국회기록보존소,국회연표,총리 인준을 둘러싼 민주당 분열을 규탄하는 국회의사당 앞 시위대 사진,,1960.08.19,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
151,국회기록보존소,국회연표,국무총리에 선출된 장면 의원 사진,,1960.08.19,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
152,국회기록보존소,국회연표,연좌시위를 벌이고 있는 시위대 사진,,1960.10.11,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
153,국회기록보존소,국회연표,4.19 부상학생들 의사당 점거 사진,,1960.10.11,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
154,국회기록보존소,국회연표,절규하는 4.19 부상학생들 사진,,1960.10.11,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
155,국회기록보존소,국회연표,국회에서 연설하는 장면 국무총리 사진,,1960.12.06,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
156,국회기록보존소,국회연표,공민권제한 특별심사위원회 회의 사진,,1961.04.01,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
157,국회기록보존소,국회연표,부정축재특별처리법안 가부결정 투표 사진,,1961.04.10,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
158,국회기록보존소,국회연표,의사당 앞을 장악한 혁명군 사진,,1961.05.16,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
159,국회기록보존소,국회연표,혁명군 앞에서 선 박정희 소장 사진,,1961.05.16,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
160,국회기록보존소,국회연표,장면 총리 사퇴성명 사진,,1961.05.18,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
161,국회기록보존소,국회연표,국가재건최고회의 출범 사진,,1961.05.19,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
162,국회기록보존소,국회연표,윤보선 대통령 사임서 사진,,1962.03.22,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
163,국회기록보존소,국회연표,윤보선 전 대통령 사진,,1962.03.22,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
164,국회기록보존소,국회연표,제3공화국 헌법 공포식 사진,,1962.12.26,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
