한국보육진흥원 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
61,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 정보,윤리ㆍ인권경영 정보,명절 관련 금품등 수수 허용범위,,2017-09-25 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물 / 타기관 작성 자료,
62,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 정보,윤리ㆍ인권경영 정보,청탁금지법상 추석 선물 수수 허용 범위,,2017-09-14 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물 / 타기관 작성 자료,
63,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 정보,윤리ㆍ인권경영 정보,청탁금지법 교육동영상,,2017-08-28 00:00:00,유,미부착,,내부확인 필요,공공누리 2~4유형,,,,,O,,,타기관 작성 자료 / 동영상,
64,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 정보,윤리ㆍ인권경영 정보,청탁금지법 해설집,,2017-08-28 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물 / 타기관 작성 자료,
65,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 정보,윤리ㆍ인권경영 정보,공무수행사인 현황,,2016-09-28 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물 / 타기관 작성 자료,
66,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 정보,윤리ㆍ인권경영 정보,청탁금지법 매뉴얼,,2016-09-28 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물 / 타기관 작성 자료,
67,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 정보,윤리ㆍ인권경영 정보,청탁금지법 교육자료,,2016-09-28 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물 / 타기관 작성 자료,
68,한국보육진흥원,HOME > 정보공개 > 사업실명제,사업실명제,[사업실명제] 24-13. 보수교육기관 평가,https://www.kcpi.or.kr/kcpi/openinfo/bzrealnm.do,2024-04-24 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
69,한국보육진흥원,HOME > 정보공개 > 사업실명제,사업실명제,[사업실명제] 24-12. 보육교직원 자격검정 및 자격증 교부,,2024-04-24 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
70,한국보육진흥원,HOME > 정보공개 > 사업실명제,사업실명제,[사업실명제] 24-09. 어린이집 평가 과정 운영,,2024-04-24 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
71,한국보육진흥원,HOME > 정보공개 > 사업실명제,사업실명제,[사업실명제] 24-08. 공공형어린이집 품질관리,,2024-04-24 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
72,한국보육진흥원,HOME > 정보공개 > 사업실명제,사업실명제,[사업실명제] 24-07. 국공립 확충 지원 사업,,2024-04-24 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
73,한국보육진흥원,HOME > 정보공개 > 사업실명제,사업실명제,[사업실명제] 24-06. 평가 사후관리,,2024-04-24 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
74,한국보육진흥원,HOME > 정보공개 > 사업실명제,사업실명제,[사업실명제] 24-05. 시간제보육 사업운영·관리,,2024-04-24 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
75,한국보육진흥원,HOME > 정보공개 > 사업실명제,사업실명제,[사업실명제] 24-03. 기관 연계 및 협력,,2024-04-24 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
76,한국보육진흥원,HOME > 정보공개 > 사업실명제,사업실명제,[사업실명제] 24-02. 보육정책 대국민 홍보 서비스,,2024-04-24 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
77,한국보육진흥원,HOME > 정보공개 > 사업실명제,사업실명제,[사업실명제] 24-01. 기관 사회공헌 활동,,2024-04-24 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
78,한국보육진흥원,HOME > 정보공개 > 사업실명제,사업실명제,[사업실명제] 24-19. 보육과정 전문컨설팅,,2024-04-24 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
79,한국보육진흥원,HOME > 정보공개 > 사업실명제,사업실명제,[사업실명제] 24-18. 한국보육진흥원 상담데스크 운영,,2024-04-24 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
80,한국보육진흥원,HOME > 정보공개 > 사업실명제,사업실명제,[사업실명제] 24-17. 보육교직원 마음성장 프로젝트 (보육교직원 인성교육 및 평가),,2024-04-24 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
81,한국보육진흥원,HOME > 정보공개 > 사업실명제,사업실명제,[사업실명제] 24-16. 중앙육아종합지원센터 운영,,2024-04-24 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
82,한국보육진흥원,HOME > 정보공개 > 사업실명제,사업실명제,"[사업실명제] 24-15. 보육과정 연수(표준보육과정, 누리과정)",,2024-04-24 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
83,한국보육진흥원,HOME > 정보공개 > 사업실명제,사업실명제,[사업실명제] 24-14. 취약보육 담당 보육교직원을 위한 맞춤형 역량강화 교육 및 컨설팅,,2024-04-24 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
84,한국보육진흥원,HOME > 정보공개 > 사업실명제,사업실명제,[사업실명제] 24-11. 어린이집 부정·이용 불편신고 및 현지조사 지원 사업,,2024-04-24 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
85,한국보육진흥원,HOME > 정보공개 > 사업실명제,사업실명제,[사업실명제] 24-10. 어린이집 평가참여 지원교육,,2024-04-24 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
86,한국보육진흥원,HOME > 정보공개 > 사업실명제,사업실명제,[사업실명제] 24-04. 기관 경영정보 공개,,2024-04-24 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
87,한국보육진흥원,HOME > 정보공개 > 사업실명제,사업실명제,[사업실명제] 한국보육진흥원 사업실명제 대상사업 선정 현황(2024년),,2024-04-24 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
88,한국보육진흥원,HOME > 정보공개 > 사업실명제,사업실명제,[사업실명제] 한국보육진흥원 사업실명제 대상사업 선정 현황(2023년),,2023-04-20 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
89,한국보육진흥원,HOME > 정보공개 > 사업실명제,사업실명제,[사업실명제] 23-19. 한국보육진흥원 상담데스크,,2023-04-20 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
90,한국보육진흥원,HOME > 정보공개 > 사업실명제,사업실명제,[사업실명제] 23-18. 보육교직원 마음성장 프로젝트,,2023-04-20 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
91,한국보육진흥원,HOME > 정보공개 > 사업실명제,사업실명제,[사업실명제] 23-17. 중앙육아종합지원센터 운영,,2023-04-20 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
