NIA 한국지능정보사회진흥원 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
65,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,[공고] 2010년 정보통신보조기기 보급품목 선정 결과,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=4320,20100423,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
66,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,2010년 계약직원 및 청년인턴 공개채용 최종합격자 공고,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=4328,20100426,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
67,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,공공정보 제공지침 및 모바일 전자정부서비스 개발 지침 공청회 개최 안내,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=4341,20100427,무,미부착,,검토 불가,검토 불가,,O,,,,,,※ 게시물 확인 불가,
68,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,2010 웹 접근성 향상 캠페인 안내,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=4348,20100428,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
69,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,2010년도 초고속공중망구축지원 융자사업 공고,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=4344,20100428,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
70,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,공공정보 제공 지침 및 모바일 전자정부서비스 개발 지침 공청회 자료집 제공,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=4352,20100428,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
71,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,아름누리 지킴이 동아리 및 정보윤리교육 운영학교 선정결과 안내,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=4370,20100430,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
72,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,[사전 규격공고] 개도국정보접근센터 구축을 위한 실내건축공사,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=4392,20100504,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
73,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,[공지] 한국정보화진흥원 입찰참여제한 업체 공지,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=4403,20100506,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
74,NIA 한국지능정보사회진흥원,HOME > 알림마당 > NIA 알림 > 공지사항,공지사항,[공지] 정보시스템 감리기준 개정 고시,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=4405,20100506,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
