철도산업정보센터 공공저작물 권리확인 대상 목록,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
91,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,영업개시(고막원역역사에는 191421간이역으로 개역 기록),,1913-07-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
92,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1913-07-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
93,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1913-07-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
94,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1913-10-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
95,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,화물취급 개시,,1913-12-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
96,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,정읍-광주송정 간 35.5리를 완공,,1914-01-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
97,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,호남선(대전～목포) 전통,,1914-01-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
98,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,배치간이역으로 영업개시(사가리역),,1914-01-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
99,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1914-01-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
100,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,배치간이역으로 영업개시,,1914-01-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
101,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1914-01-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
102,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,전북철도주식회사 회사설립 (자본금30만원),,1914-02-00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
103,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,화물취급개시,,1914-04-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
104,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역명변경(독도→왕십리),,1914-04-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
105,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,토목공사 착수,,1914-05-00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
106,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,경원선(용산 ~ 원산) 개통,,1914-08-16 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
107,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,연천~원산 개통,,1914-09-16 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
108,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,준공,,1914-10-00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
109,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,여객운송 개시,,1914-10-17 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
110,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,협궤철도 부설 완료,,1914-11-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
111,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,전라선 이리(현 익산)~전주 구간 영업 개시.,,1914-11-17 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
112,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시(구이리역),,1914-11-17 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
113,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,서노송동에서 보통역으로 영업개시,,1914-11-17 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
114,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1914-11-17 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
115,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,화물운송 개시,,1914-12-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
116,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1915-01-16 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
117,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,구역사 준공,,1915-01-16 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
118,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역명변경(남대문→경성),,1915-10-15 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
119,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,화물취급 개시,,1915-12-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
120,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,"부강 - 대전간, 약목 - 대구간 개량 ",,1916-02-00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
121,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,김천~약목간 철도 이설로 폐역,,1916-10-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
122,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,화물취급 개시,,1916-10-15 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
123,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,김천 - 약목간 개량 (구미 경유로 이설),,1916-11-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
124,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1916-11-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
125,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,동대구역~영천역 간 대구선이 개통되었다.,,1917-00-00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
126,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,화물취급 개시,,1917-02-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
127,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,영업개시(검사동),,1917-12-24 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
128,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1917-12-24 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
129,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1917-12-24 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
130,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,부산진 - 부산간 복선화,,1918-06-00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
131,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1918-07-18 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
132,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1918-07-25 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
