국립무형유산원 공공저작물 권리확인 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,작성일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
63,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2014년 무형유산 전승자 전문역량강화과정 교육대상자 및 교육일정 안내 공고,,2014-10-28 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
64,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2014년 전승자 교수ㆍ직무역량 강화 교육Ⅱ·Ⅲ 안내,,2014-10-29 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
65,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,비정상의 정상화 홍보 영상 및 포스터,,2014-10-31 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,국가 저작물,
66,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2014년 무형문화재 차세대 전승자 전문역량 강화 과정 ⅠㆍⅡ 교육안내,,2014-11-10 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
67,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2014 무형유산 체험 강좌 안내 -서안만들기-,,2014-11-14 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
68,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2014년 무형문화재 차세대 전승자 전문역량강화 과정 Ⅰ·Ⅱ 교육 참가자 명단 및 교육일정 안내,,2014-11-21 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
69,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2014 무형유산 체험강좌 -서안만들기- 교육생 확정 공고,,2014-11-28 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
70,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,"(특별전)농악, 인류의 신명이 되다 전시 도록",,2014-12-31 00:00:00,첨부파일,미부착,,내부확인 필요,공공누리 2~4유형,,,,O,,,,제3자 권리(도록),
71,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2015 올해의 무형유산 도시 공모 안내,,2015-01-22 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
72,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2015년 중요무형문화재 기예능 공개행사 지원 안내,,2015-01-26 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
73,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2015년 무형문화재 전승자 주관 전승활동 지원사업 안내,,2015-01-26 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
