[국회도서관] 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판진입과정,게시판명,게시물 제목,URL,등록일,기사 수량,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
63,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1993년 3·4월),,1993년 3·4월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
64,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1993년 1·2월),,1993년 1·2월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
65,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1992년 11·12월),,1992년 11·12월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
66,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1992년 9·10월),,1992년 9·10월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
67,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1992년 7·8월),,1992년 7·8월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
68,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1992년 5·6월),,1992년 5·6월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
69,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1992년 3·4월),,1992년 3·4월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
70,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1992년 1·2월),,1992년 1·2월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
71,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1991년 11·12월),,1991년 11·12월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
72,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1991년 9·10월),,1991년 9·10월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
73,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1991년 7·8월),,1991년 7·8월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
74,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1991년 5·6월),,1991년 5·6월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
75,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1991년 3·4월),,1991년 3·4월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
76,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1991년 1·2월),,1991년 1·2월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
77,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1990년 11·12월),,1990년 11·12월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
78,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1990년 9·10월),,1990년 9·10월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
79,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1990년 7·8월),,1990년 7·8월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
80,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1990년 5·6월),,1990년 5·6월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
81,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1990년 3·4월),,1990년 3·4월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
82,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1990년 1·2월),,1990년 1·2월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
83,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1989년 11·12월),,1989년 11·12월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
84,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1989년 9·10월),,1989년 9·10월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
85,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1989년 7·8월),,1989년 7·8월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
86,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1989년 5·6월),,1989년 5·6월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
87,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1989년 3·4월),,1989년 3·4월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
88,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1989년 1·2월),,1989년 1·2월,18,미부착 ,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
