Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,O,O.1,O.2,O.3,O.4,O.5,Unnamed: 21,Unnamed: 22
,한국교육개발원 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,,,,
,순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,작성일/출판일,연구책임자/작성자,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
,57,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,"[KEDI Brief 2020년 17호] 공유·상생의 시대, 공유성장형 대학체제 ...",,2020-07-24 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,58,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2020년 18호] 교육통계·지표 국제협력 모델 탐색,,2020-08-06 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,59,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,"[KEDI Brief 2020년 19호] 영재학교 졸업생의 대학 진학과 그 후, 창...",,2020-08-21 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,60,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2020년 20호] 정부의 고등교육재정 투자와 향후 과제,,2020-09-04 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,61,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2020년 21호] 심미적 감성 역량의 개념 및 평가 방안,,2020-09-21 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,62,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2020년 22호] 학교재정운영 자율성 수준이 단위학교 교육...,,2020-10-07 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,63,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2020년 23호] 대학 재정지원 사업 운영 현황과 과제,,2020-10-23 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,64,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2020년 24호] 코로나19 대응 국가 수준 원격교육체제 진...,,2020-11-02 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,65,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2020년 25호] 교육 분야 감염병(COVID-19) 대응 과제: 수...,,2020-11-13 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,66,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2020년 26호] 김정은 시대 북한 유·초·중등 교육 연구,,2020-11-30 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,67,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2020 No.1] National University Governance: The Conce...,,2021-01-04 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,68,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2020 No.2] Democratic citizenship education at prima...,,2021-01-04 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,69,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2020 No.5] Korean middle school teacher's self-effic...,,2021-01-04 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,70,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2020 No.7] Expanding Lifelong Education in Response ...,,2021-01-04 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
