국립극장 권리처리 목록,,,,,,,,,,,,
순번,사이트명,카테고리,이름,설명,등록일,영상,사진,문서,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고
126,별별스테이지,포스터,세인트 죤,국립극단,1963-03-01,0,1,0,미부착,개방불가,없음,
127,별별스테이지,포스터,국립교향악단 정기연주회,국립교향악단,1963-03-25,0,1,0,미부착,개방불가,없음,
128,별별스테이지,포스터,국립교향악단 정기연주회,국립교향악단,1963-09-05,0,1,0,미부착,개방불가,없음,
129,별별스테이지,포스터,국립교향악단 정기연주회,국립교향악단,1963-11-07,0,1,0,미부착,개방불가,없음,
130,별별스테이지,포스터,서라벌의 별,국립국극단,1964-03-17,0,1,0,미부착,개방불가,없음,
131,별별스테이지,포스터,만선,국립극단,1964-07-01,0,1,0,미부착,개방불가,없음,
132,별별스테이지,포스터,국립교향악단 정기연주회,국립교향악단,1964-09-08,0,1,0,미부착,개방불가,없음,
133,별별스테이지,포스터,흥부가,국립국극단,1964-09-19,0,1,0,미부착,개방불가,없음,
134,별별스테이지,포스터,국립교향악단 정기연주회,국립교향악단,1964-10-12,0,1,0,미부착,개방불가,없음,
135,별별스테이지,포스터,국립교향악단 정기연주회,국립교향악단,1964-12-18,0,1,0,미부착,개방불가,없음,
136,별별스테이지,포스터,신정대공연 여성만세,국립극단,1965-01-01,0,1,0,미부착,개방불가,없음,
137,별별스테이지,포스터,국립교향악단 정기연주회,국립교향악단,1965-01-26,0,1,0,미부착,개방불가,없음,
138,별별스테이지,포스터,구정대공연 오대가전 특별찬조 민속놀이,국립국극단,1965-02-02,0,1,0,미부착,개방불가,없음,
139,별별스테이지,포스터,국립교향악단 정기연주회,국립교향악단,1965-03-05,0,1,0,미부착,개방불가,없음,
140,별별스테이지,포스터,3.1절 기념 대공연,국립무용단,1966-03-01,0,1,0,미부착,개방불가,없음,
141,별별스테이지,포스터,그 길고 지루한 여름,국립극단,1966-09-28,0,1,0,미부착,개방불가,없음,
142,별별스테이지,포스터,"모란의 정, 봉선화",국립무용단,1969-10-24,0,1,0,미부착,개방불가,없음,
143,별별스테이지,포스터,신라인,국립극단,1971-03-01,0,1,0,미부착,개방불가,없음,
144,별별스테이지,포스터,"카발레리아 루스티카나, 파리아치",국립오페라단,1971-05-20,0,1,0,미부착,개방불가,없음,
145,별별스테이지,포스터,국악의 밤,"국립극장, 국립국악원",1971-08-14,0,1,0,미부착,개방불가,없음,
146,별별스테이지,포스터,국립교향악단 연주회,국립교향악단,1971-09-07,0,1,0,미부착,개방불가,없음,
147,별별스테이지,포스터,달집,국립극단,1971-09-14,0,1,0,미부착,개방불가,없음,
