국립대전현충원 공공저작물 권리처리 대상 목록,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시물 제목,설명,날짜,영상,사진,문서,기존 공공누리 유형,최종 유형,계약서 유무,비고
87,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,대한민국무공수훈자회 회장 이수희 참배 (09. 9. 30.),,2009-09-30 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
88,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,건군 제61주년 국군의 날 참배 (09. 10. 1.),,2009-10-01 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
89,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,건군 제61주년 국군의 날 참배 (09. 10. 1.),,2009-10-01 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
90,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,건군 제61주년 국군의 날 참배 (09. 10. 1.),,2009-10-01 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
91,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,민원만족도 제고를 위한 실천 결의대회 (09. 10. 1.),,2009-10-01 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
92,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,국가보훈처장 김양 현충탑 참배 (09. 10. 8.),,2009-10-08 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
93,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,대전지방경찰청장  유태열 참배 (09. 10. 20.),,2009-10-21 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
94,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,충남지방경찰청장 박종준 참배 (09. 10. 21.),,2009-10-21 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
95,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,제19대 권율정 국립대전현충원장 취임참배(09. 10.  26.),,2009-10-28 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
96,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,영구 귀국 독립유공자 후손 참배(09. 10. 27.),,2009-10-28 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
97,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,한나라당 충청남도 위원장 이훈규 참배 (09. 11. 2.),,2009-11-02 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
98,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,공주대학교 한민족교육문화원 재외동포 참배 (09. 11. 5.),,2009-11-05 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
99,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,국가보훈처 신규임용자 참배 (09. 11. 12.),,2009-11-12 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
100,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,대한민국6.25참전유공자회 인천시지부 참배 (09. 11. 16.),,2009-11-16 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
101,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,제70주년 순국선열의 날 참배 (09. 11. 17.),,2009-11-17 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
102,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,대한민국6.25참전유공자회 회장 박희모 참배 (09. 11. 19.),,2009-11-19 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
103,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,보훈교육연구원 교육생 현충탑 참배 (09. 11. 26.),,2009-11-26 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
104,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,숭고한 보훈정신 함양을 위한 실천 결의대회 (09. 12. 1.),,2009-12-01 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
105,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,대한민국베트남참전유공전우회 참배 (09. 12. 22.),,2009-12-23 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
106,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,충청체신청장 신순식 참배 (09. 12. 31.),,2010-01-01 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
107,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,숭고한 보훈정신 함양을 위한 실천 결의대회 (2010. 1. 5.),,2010-01-08 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
108,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,크리스찬 리더스클럽 새해맞이참배 (2010. 1. 8.),,2010-01-08 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
109,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,대전지방경찰청장  강찬조 취임참배 (2010. 1. 8.),,2010-01-08 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
110,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,충남지방경찰청장 조길형 취임참배 (2010. 1. 9.),,2010-01-10 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
111,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,국무총리 정운찬 참배 (2010. 1. 11.),,2010-01-18 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
112,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,숭고한 보훈정신 함양을 위한 실천 결의대회 (2010. 2. 1.),,2010-02-05 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
113,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,대전지방보훈청장 이용원 참배 (2010. 2. 1.),,2010-02-05 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
