한국지역정보개발원(KLID) 권리처리 목록,,,,,,,,,,,,
순번,사이트명,카테고리 진입과정,이름,설명,등록일,영상,사진,문서,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고
113,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 리포트,2012년 지역정보화 동향분석 제2호 : 클라우드 컴퓨팅 추진동향과 적용사례 분석,,2012-03-28 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
114,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 리포트,2012년 지역정보화 동향분석 제3호 : 빅데이터 시대의 데이터 활용과 전략,,2012-04-30 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
115,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 리포트,2012년 지역정보화 동향분석 제4호 : 지속가능한 성장을 위한 스마트 전략 EURO 2020,,2012-05-30 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
116,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 리포트,2012년 지역정보화 동향분석 제5호 : 일본의 정보화전략 추진동향과 주요내용,,2012-06-29 00:00:00,0,0,1,미부착,개방불가,없음,
117,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 리포트,2012년 지역정보화 동향분석 제6호 : 소프트웨어 관리 현황 및 제도 동향,,2012-07-30 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
118,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 리포트,2012년 지역정보화 동향분석 제7호 : ICT 거버넌스 체계 개편논의 및 관련 동향,,2012-09-13 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
119,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 리포트,2012년 지역정보화 동향분석 제8호 : 스마트워크 3.0 주요내용과 추진방향,,2012-09-28 00:00:00,0,0,1,미부착,개방불가,없음,
120,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 리포트,2012년 지역정보화 동향분석 제9호 : 정보화 관련 법안의 제개정 동향,,2012-10-30 00:00:00,0,0,1,미부착,개방불가,없음,
121,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 리포트,2012년 지역정보화 동향분석 제10호 : IT 전문기업의 2013년 IT 기술 전망 비교분석,,2012-11-06 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
122,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 리포트,2013년 지역정보화 동향분석 제1호 : 제18대 대통령 당선인의 IT 공약 분석,,2013-01-02 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
123,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 리포트,2013년 지역정보화 동향분석 제2호 : Gov 3.0 시대 지역정보화의 이슈와 전망,,2013-04-04 00:00:00,0,0,1,미부착,제4유형,이용허락동의서 작성,
124,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 리포트,2013년 지역정보화 동양분석 제3호: 공공정보의 민간개방 사례와 향후 전망,,2013-05-03 00:00:00,0,0,1,미부착,개방불가,없음,
125,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 리포트,2013년 지역정보화 동향분석 제4호 : 지방자치단체 정보화교육 프로그램 현황 및 개선방안,,2013-07-01 00:00:00,0,0,1,미부착,개방불가,없음,
126,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 리포트,2013년 지역정보화 동향분석 제5호: 국내외 IT 공적개발원조(ODA) 사업의 추진 동향 분석,,2013-08-02 00:00:00,0,0,1,미부착,개방불가,없음,
127,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 리포트,2013년 지역정보화 동향분석 제6호: 2013년 정보화 입법 추진 동향,,2013-10-02 00:00:00,0,0,1,미부착,개방불가,없음,
