국립해양문화재연구소 권리처리 목록,,,,,,,,,,,,
순번,사이트명,카테고리,이름,설명,등록일,영상,사진,문서,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고
173,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
174,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
175,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
176,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
177,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
178,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
179,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
180,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
181,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
182,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
183,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
184,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
185,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
186,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
187,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
188,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
189,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
190,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
191,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
192,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,도기 항아리,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
